Word		Definition/Translation
-------------------------------------------

Raesfeld 	a municipality in the district of Borken in the state of North Rhine-Westphalla, Germany. 

Flughafen 	Airport

Berlin 		Capital and the largest city of Germany by both area and population. 

Bratwurst 	Type of german sausage made from pork and sometimes beef. Mildy spiced. 

Hauptstrasse	Main street / Main road

Brot		Bread

klimaanlage	Air Conditioner

Rammstein 	Rammstein is a German Neue Deutsche Härte band formed in Berlin in 1994.

Porsche		German automotive manufacturer specializing in high-performance sports cars.

BMW		Bayerische Motoren Werke GmbH. (German automotive manufacturer)

Biergarten 	Beer garden

Ratskeller	name in German-speaking countries for a bar or a restauraunt located in the basement of a city hall. 

Drindl		A drindl is a feminine dress which originated in German-speaking areas of the Alps. 

Lederhose	traditional leather breeches worn by men in Austria, Bavaria. (pants/shorts)

Schloss		German castle or manor house (also a lock?)


Wettbewerbsfaehig 	Competitive

Mehlhase 	Our professor

Gebaeck		Pastries / cookie

Baeckerei	Bakery

Hund		Dog

Doener(kebab)	dish of Turkish origin made of meat cooked on a vertical rotisserie. 

Apfelkuchen	German apple cake

Eltz		A medieval castle in germany










